"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2023","19.84","20.85","21.00","19.82","11.33M","-5.75%"
"09/06/2023","21.05","20.60","21.30","20.50","9.16M","2.18%"
"09/05/2023","20.60","21.30","21.40","20.35","11.23M","-3.29%"
"09/04/2023","21.30","20.50","21.30","20.25","11.85M","3.90%"
"08/31/2023","20.50","20.45","20.95","20.35","11.00M","0.74%"
"08/30/2023","20.35","21.15","21.50","20.20","19.14M","-1.69%"
"08/29/2023","20.70","19.40","20.90","19.30","17.23M","8.04%"
"08/28/2023","19.16","19.82","19.96","19.12","7.92M","0.95%"
"08/25/2023","18.98","19.16","19.20","18.74","7.25M","-2.06%"
"08/24/2023","19.38","19.02","19.56","18.94","7.60M","2.76%"
"08/23/2023","18.86","19.20","19.20","18.70","4.61M","-1.57%"
