"Date","Price","Open","High","Low","Vol.","Change %"
"09/28/2023","28.55","28.38","28.66","28.07","12.40M","-1.38%"
"09/27/2023","28.95","29.10","29.17","28.68","8.13M","-0.28%"
"09/26/2023","29.03","28.95","29.32","28.91","10.34M","-2.52%"
"09/25/2023","29.78","29.40","29.87","29.35","7.23M","-2.07%"
"09/22/2023","30.41","30.95","30.99","30.35","8.39M","2.01%"
"09/21/2023","29.81","29.65","30.06","29.51","9.03M","-1.78%"
"09/20/2023","30.35","30.32","30.76","30.32","6.82M","-0.95%"
"09/19/2023","30.64","30.60","30.79","30.41","9.47M","-1.54%"
"09/18/2023","31.12","31.08","31.17","30.70","9.01M","-1.43%"
"09/15/2023","31.57","31.78","31.83","31.44","7.35M","-0.47%"
"09/14/2023","31.72","31.90","32.02","31.53","6.22M","0.09%"
"09/13/2023","31.69","31.63","31.90","31.50","4.77M","-0.13%"
"09/12/2023","31.73","31.72","32.14","31.61","6.77M","-0.60%"
"09/11/2023","31.92","32.21","32.28","31.65","9.50M","-1.48%"
"09/08/2023","32.40","32.35","32.49","32.00","5.45M","0.19%"
"09/07/2023","32.34","32.48","32.50","31.96","12.34M","-4.29%"
"09/06/2023","33.79","33.91","34.42","33.78","6.80M","-1.37%"
"09/05/2023","34.26","33.72","34.34","33.54","7.29M","0.47%"
"09/01/2023","34.10","33.85","34.95","33.80","11.91M","2.68%"
"08/31/2023","33.21","33.14","33.31","32.85","11.64M","-2.24%"
"08/30/2023","33.97","33.79","34.31","33.75","8.39M","-1.54%"
"08/29/2023","34.50","34.60","34.98","34.16","8.81M","2.04%"
"08/28/2023","33.81","33.69","34.10","33.35","9.65M","2.58%"
"08/25/2023","32.96","33.17","33.17","32.33","8.54M","-0.18%"
"08/24/2023","33.02","33.86","34.06","33.01","10.65M","-2.34%"
"08/23/2023","33.81","33.17","33.97","33.15","7.06M","1.59%"
"08/22/2023","33.28","33.80","33.92","32.90","7.95M","0.18%"
"08/21/2023","33.22","33.01","33.44","32.86","7.83M","0.33%"
"08/18/2023","33.11","33.03","33.26","32.68","17.02M","-4.75%"
"08/17/2023","34.76","35.52","35.58","34.40","10.62M","-0.34%"
"08/16/2023","34.88","34.96","35.82","33.92","20.04M","-3.03%"
"08/15/2023","35.97","36.20","36.31","35.50","9.04M","-2.15%"
"08/14/2023","36.76","36.40","36.96","36.01","5.97M","0.82%"
"08/11/2023","36.46","37.10","37.16","35.88","14.07M","-5.27%"
"08/10/2023","38.49","38.57","39.40","38.18","9.60M","2.18%"
"08/09/2023","37.67","38.33","38.38","37.36","7.33M","-1.00%"
"08/08/2023","38.05","37.56","38.06","37.23","7.36M","-2.21%"
"08/07/2023","38.91","39.68","39.68","38.31","8.12M","-0.46%"
"08/04/2023","39.09","39.88","40.15","39.06","6.06M","-1.19%"
"08/03/2023","39.56","39.13","39.76","38.93","8.09M","3.42%"
"08/02/2023","38.25","39.01","39.15","37.98","10.72M","-4.47%"
"08/01/2023","40.04","40.42","40.81","40.00","7.48M","-3.07%"
"07/31/2023","41.31","41.08","41.95","40.77","11.76M","1.92%"
"07/28/2023","40.53","39.53","40.69","39.33","16.99M","6.71%"
"07/27/2023","37.98","38.87","39.00","37.77","11.48M","-2.94%"
"07/26/2023","39.13","38.18","39.23","38.18","7.72M","1.56%"
"07/25/2023","38.53","39.57","39.69","38.36","10.27M","0.44%"
"07/24/2023","38.36","36.47","38.85","36.36","13.36M","3.48%"
"07/21/2023","37.07","37.37","37.67","36.88","12.11M","1.09%"
"07/20/2023","36.67","36.95","36.96","36.52","9.87M","0.71%"
"07/19/2023","36.41","36.92","37.38","36.41","9.45M","0.97%"
"07/18/2023","36.06","36.70","36.86","35.47","16.73M","-4.55%"
"07/17/2023","37.78","37.22","38.00","36.92","7.29M","-0.94%"
"07/14/2023","38.14","38.41","38.41","37.91","10.84M","-3.10%"
"07/13/2023","39.36","38.70","39.41","38.49","15.34M","5.21%"
"07/12/2023","37.41","37.34","37.83","36.91","11.42M","3.86%"
"07/11/2023","36.02","35.90","36.39","35.31","6.95M","0.19%"
"07/10/2023","35.95","35.30","36.15","35.06","8.33M","0.53%"
"07/07/2023","35.76","34.66","36.19","34.58","12.94M","4.93%"
"07/06/2023","34.08","34.33","34.64","33.81","6.92M","-3.18%"
"07/05/2023","35.20","35.22","35.29","34.88","6.26M","0.14%"
"07/03/2023","35.15","35.20","35.71","35.03","6.53M","2.99%"
"06/30/2023","34.13","34.19","34.49","33.85","14.16M","0.32%"
"06/29/2023","34.02","33.82","34.28","33.63","10.49M","-2.21%"
"06/28/2023","34.79","34.99","35.03","34.17","9.73M","-2.69%"
"06/27/2023","35.75","35.78","35.81","35.42","6.33M","2.23%"
"06/26/2023","34.97","34.92","35.31","34.87","7.08M","0.29%"
"06/23/2023","34.87","35.87","35.90","34.60","12.69M","-4.70%"
"06/22/2023","36.59","36.66","36.72","35.87","5.35M","0.00%"
"06/21/2023","36.59","36.76","37.27","36.50","8.62M","-1.56%"
"06/20/2023","37.17","38.04","38.04","36.69","17.54M","-6.73%"
"06/16/2023","39.85","40.67","40.68","39.26","11.06M","-0.28%"
"06/15/2023","39.96","39.59","40.07","39.45","12.62M","3.42%"
"06/14/2023","38.64","37.97","38.88","37.84","10.25M","1.71%"
"06/13/2023","37.99","37.90","38.82","37.72","12.21M","3.51%"
"06/12/2023","36.70","36.72","37.44","36.52","7.34M","0.33%"
"06/09/2023","36.58","37.04","37.15","36.29","8.42M","-1.77%"
"06/08/2023","37.24","37.05","37.74","36.94","6.95M","0.78%"
"06/07/2023","36.95","36.85","37.53","36.61","11.11M","-2.12%"
"06/06/2023","37.75","36.01","37.83","35.89","14.10M","4.02%"
"06/05/2023","36.29","35.39","36.45","34.90","10.78M","2.43%"
"06/02/2023","35.43","35.84","36.18","35.31","10.31M","2.61%"
"06/01/2023","34.53","33.28","35.30","33.25","17.05M","5.92%"
"05/31/2023","32.60","32.25","32.67","31.57","18.27M","1.56%"
"05/30/2023","32.10","32.99","33.08","31.67","14.93M","-3.02%"
"05/26/2023","33.10","33.04","33.40","32.46","9.96M","2.03%"
"05/25/2023","32.44","33.30","33.34","32.29","13.59M","-4.25%"
"05/24/2023","33.88","34.38","34.68","33.51","13.92M","-3.31%"
"05/23/2023","35.04","35.20","35.70","34.97","7.56M","-2.64%"
"05/22/2023","35.99","35.99","36.55","35.80","9.95M","2.65%"
"05/19/2023","35.06","35.53","35.72","34.80","11.48M","-2.07%"
"05/18/2023","35.80","37.00","37.01","35.60","15.75M","-4.12%"
"05/17/2023","37.34","36.90","37.65","36.51","9.65M","-1.53%"
"05/16/2023","37.92","37.31","38.20","37.12","10.17M","0.66%"
"05/15/2023","37.67","36.22","38.11","35.79","17.40M","6.71%"
"05/12/2023","35.30","36.94","36.97","35.09","17.06M","-6.19%"
"05/11/2023","37.63","36.45","37.93","36.25","26.04M","7.21%"
"05/10/2023","35.10","34.57","35.26","34.44","18.06M","-1.46%"
"05/09/2023","35.62","34.69","35.64","34.66","6.29M","-0.78%"
"05/08/2023","35.90","35.65","36.11","35.22","6.10M","0.06%"
"05/05/2023","35.88","36.08","36.21","35.53","8.96M","0.28%"
"05/04/2023","35.78","35.20","35.90","35.04","8.43M","3.17%"
"05/03/2023","34.68","34.11","35.01","33.81","8.08M","1.31%"
"05/02/2023","34.23","35.01","35.03","33.65","10.10M","-3.55%"
"05/01/2023","35.49","35.72","35.86","35.24","5.43M","-0.64%"
"04/28/2023","35.72","34.68","35.86","34.61","8.65M","2.79%"
"04/27/2023","34.75","34.33","34.82","34.03","7.53M","1.52%"
"04/26/2023","34.23","34.96","35.15","34.13","8.54M","1.57%"
"04/25/2023","33.70","33.86","34.26","33.53","11.82M","-2.83%"
"04/24/2023","34.68","35.29","35.34","34.16","15.12M","-2.67%"
"04/21/2023","35.63","35.40","35.74","35.22","10.12M","-1.55%"
"04/20/2023","36.19","36.46","36.76","35.97","12.62M","-2.45%"
"04/19/2023","37.10","36.82","37.14","36.66","7.56M","-1.67%"
"04/18/2023","37.73","38.30","38.42","37.53","8.52M","-0.84%"
"04/17/2023","38.05","37.86","38.17","37.55","10.14M","3.26%"
"04/14/2023","36.85","37.30","37.55","36.45","10.71M","-1.60%"
