"Date","Price","Open","High","Low","Vol.","Change %"
"09/28/2023","34.53","33.72","34.78","33.68","7.15M","-1.23%"
"09/27/2023","34.96","35.27","35.27","34.47","4.29M","0.43%"
"09/26/2023","34.81","35.00","35.54","34.72","8.60M","-1.56%"
"09/25/2023","35.36","36.80","36.80","35.15","12.90M","-9.98%"
"09/22/2023","39.28","40.00","40.11","39.05","5.70M","2.61%"
"09/21/2023","38.28","38.03","38.77","37.80","3.39M","-0.80%"
"09/20/2023","38.59","39.10","39.47","38.47","3.22M","0.52%"
"09/19/2023","38.39","38.64","38.87","38.02","6.52M","-3.25%"
"09/18/2023","39.68","39.26","39.88","38.85","5.57M","-2.39%"
"09/15/2023","40.65","40.87","41.44","40.49","4.93M","-0.07%"
"09/14/2023","40.68","40.80","40.90","40.40","2.04M","0.49%"
"09/13/2023","40.48","39.85","40.77","39.76","3.21M","-0.54%"
"09/12/2023","40.70","39.80","41.25","39.72","4.81M","2.88%"
"09/11/2023","39.56","39.55","39.80","38.92","3.91M","3.02%"
"09/08/2023","38.40","38.53","38.79","38.21","1.95M","-0.44%"
"09/07/2023","38.57","38.83","39.10","38.32","3.60M","-3.36%"
"09/06/2023","39.91","39.80","40.28","39.65","3.40M","0.23%"
"09/05/2023","39.82","40.35","40.50","38.77","9.05M","-5.93%"
"09/01/2023","42.33","42.63","43.19","41.69","5.69M","1.63%"
"08/31/2023","41.65","41.56","42.13","41.24","4.18M","-0.76%"
"08/30/2023","41.97","40.97","41.98","40.55","6.78M","-2.19%"
"08/29/2023","42.91","41.00","43.37","40.73","13.17M","7.79%"
"08/28/2023","39.81","39.68","40.15","39.14","3.85M","1.40%"
"08/25/2023","39.26","38.76","39.40","38.50","4.17M","1.11%"
"08/24/2023","38.83","39.48","39.80","38.43","4.52M","-0.28%"
"08/23/2023","38.94","38.44","39.28","38.25","4.09M","-0.49%"
"08/22/2023","39.13","40.10","40.24","38.48","4.56M","-1.68%"
"08/21/2023","39.80","38.70","39.91","38.40","4.52M","2.50%"
"08/18/2023","38.83","38.58","39.33","38.26","6.33M","-4.88%"
"08/17/2023","40.82","42.15","42.20","40.78","6.29M","1.29%"
"08/16/2023","40.30","39.72","40.69","39.55","5.49M","-0.74%"
"08/15/2023","40.60","40.60","40.80","39.71","6.72M","1.63%"
"08/14/2023","39.95","39.89","39.98","38.73","14.13M","-1.28%"
"08/11/2023","40.47","41.37","41.40","39.88","10.58M","-5.55%"
"08/10/2023","42.85","43.73","44.43","42.41","9.40M","2.41%"
"08/09/2023","41.84","42.63","43.19","41.63","8.93M","-1.85%"
"08/08/2023","42.63","42.72","43.98","41.15","15.63M","-8.62%"
"08/07/2023","46.65","47.26","47.33","45.63","8.10M","1.77%"
"08/04/2023","45.84","46.06","46.39","45.17","6.70M","-1.50%"
"08/03/2023","46.54","45.32","46.81","45.13","12.52M","4.82%"
"08/02/2023","44.40","43.30","44.61","43.16","7.43M","0.07%"
"08/01/2023","44.37","43.39","44.69","42.86","8.40M","3.67%"
"07/31/2023","42.80","42.23","42.82","41.82","6.88M","0.19%"
"07/28/2023","42.72","40.74","42.83","40.53","13.52M","9.57%"
"07/27/2023","38.99","39.68","39.73","38.85","6.93M","-0.81%"
"07/26/2023","39.31","38.59","40.36","38.59","10.97M","3.56%"
"07/25/2023","37.96","38.50","38.80","37.51","6.36M","-0.58%"
"07/24/2023","38.18","36.65","38.73","36.57","7.58M","3.27%"
"07/21/2023","36.97","37.31","37.40","36.87","3.37M","-1.39%"
"07/20/2023","37.49","36.98","37.70","36.84","3.72M","0.19%"
"07/19/2023","37.42","37.55","37.79","37.11","3.92M","0.86%"
"07/18/2023","37.10","37.94","38.02","36.68","5.24M","-2.85%"
"07/17/2023","38.19","36.69","38.52","36.56","6.09M","3.22%"
"07/14/2023","37.00","36.82","37.03","35.86","11.54M","-0.96%"
"07/13/2023","37.36","37.41","37.63","36.63","9.47M","-2.12%"
"07/12/2023","38.17","37.70","38.22","36.92","7.94M","3.00%"
"07/11/2023","37.06","36.82","37.24","36.43","7.03M","3.38%"
"07/10/2023","35.85","35.05","35.96","34.40","5.14M","-0.11%"
"07/07/2023","35.89","35.41","36.15","35.09","3.60M","1.16%"
"07/06/2023","35.48","35.50","36.41","35.36","4.46M","-0.76%"
"07/05/2023","35.75","36.07","36.39","35.42","5.81M","-1.52%"
"07/03/2023","36.30","36.88","38.09","36.09","10.50M","3.42%"
"06/30/2023","35.10","34.39","35.48","34.39","5.29M","2.36%"
"06/29/2023","34.29","34.62","34.79","33.98","3.51M","-2.22%"
"06/28/2023","35.07","35.03","35.15","34.43","5.86M","1.04%"
"06/27/2023","34.71","34.28","34.93","34.07","5.39M","2.45%"
"06/26/2023","33.88","33.68","34.15","33.44","4.21M","1.99%"
"06/23/2023","33.22","33.60","33.86","32.92","4.74M","-3.43%"
"06/22/2023","34.40","34.48","34.48","33.80","3.09M","-0.75%"
"06/21/2023","34.66","34.85","35.97","34.42","9.01M","2.73%"
"06/20/2023","33.74","34.06","34.53","33.59","6.82M","-1.95%"
"06/16/2023","34.41","34.70","34.85","34.10","7.25M","-0.15%"
"06/15/2023","34.46","34.25","35.09","33.88","11.36M","1.95%"
"06/14/2023","33.80","32.49","34.20","32.38","15.98M","7.34%"
"06/13/2023","31.49","31.96","32.05","31.16","7.25M","1.09%"
"06/12/2023","31.15","31.02","31.56","30.75","6.88M","-1.98%"
"06/09/2023","31.78","32.15","32.55","31.63","6.01M","-0.75%"
"06/08/2023","32.02","31.87","32.41","31.72","4.81M","0.66%"
"06/07/2023","31.81","32.43","32.63","31.49","6.93M","-0.56%"
"06/06/2023","31.99","30.72","32.02","30.69","12.24M","6.28%"
"06/05/2023","30.10","29.87","30.60","29.69","7.06M","2.24%"
"06/02/2023","29.44","30.48","31.33","29.32","9.79M","0.99%"
"06/01/2023","29.15","28.90","29.50","28.20","7.38M","0.34%"
"05/31/2023","29.05","28.85","29.08","27.73","7.85M","-0.34%"
"05/30/2023","29.15","28.88","30.67","28.88","13.24M","3.52%"
"05/26/2023","28.16","28.64","28.65","27.80","6.08M","-0.25%"
"05/25/2023","28.23","28.53","28.68","28.11","4.40M","-2.05%"
"05/24/2023","28.82","28.35","29.73","28.20","8.74M","0.28%"
"05/23/2023","28.74","28.61","29.27","28.51","5.78M","-2.41%"
"05/22/2023","29.45","29.80","30.04","28.96","8.55M","1.20%"
"05/19/2023","29.10","29.14","29.51","28.80","5.52M","1.46%"
"05/18/2023","28.68","29.18","29.25","28.22","6.73M","-0.59%"
"05/17/2023","28.85","29.51","29.56","28.80","8.91M","-3.70%"
"05/16/2023","29.96","29.84","30.11","29.46","6.00M","-0.13%"
"05/15/2023","30.00","29.00","30.01","28.86","6.35M","1.90%"
"05/12/2023","29.44","29.05","29.77","28.58","11.33M","0.60%"
"05/11/2023","29.26","29.25","29.96","28.74","14.66M","3.70%"
"05/10/2023","28.22","26.28","29.00","26.11","27.81M","13.93%"
"05/09/2023","24.77","24.29","25.00","24.23","7.75M","0.08%"
"05/08/2023","24.75","24.73","25.18","24.47","5.53M","3.43%"
"05/05/2023","23.93","23.68","24.07","23.44","5.10M","0.17%"
"05/04/2023","23.89","23.31","23.94","23.30","6.92M","5.06%"
"05/03/2023","22.74","22.78","23.00","22.62","3.53M","-0.74%"
"05/02/2023","22.91","23.17","23.32","22.26","6.22M","-3.01%"
"05/01/2023","23.62","24.20","24.21","23.36","6.33M","0.51%"
"04/28/2023","23.50","23.20","23.62","22.82","4.99M","1.12%"
"04/27/2023","23.24","22.76","23.32","22.59","4.27M","3.61%"
"04/26/2023","22.43","22.71","23.12","22.23","5.17M","1.82%"
"04/25/2023","22.03","22.56","22.60","21.48","8.26M","-2.87%"
"04/24/2023","22.68","22.99","23.44","22.48","5.81M","-1.09%"
"04/21/2023","22.93","22.90","23.07","22.53","5.43M","-0.86%"
"04/20/2023","23.13","23.37","23.69","22.68","10.54M","-6.17%"
"04/19/2023","24.65","24.48","24.85","24.31","4.49M","-3.30%"
"04/18/2023","25.49","25.50","25.73","25.18","5.22M","-2.45%"
"04/17/2023","26.13","25.69","26.26","25.17","8.78M","6.39%"
"04/14/2023","24.56","24.38","24.61","23.90","3.87M","1.40%"
"04/13/2023","24.22","24.52","24.75","24.10","4.22M","1.76%"
"04/12/2023","23.80","23.96","24.22","23.58","6.16M","-0.13%"
"04/11/2023","23.83","24.37","24.67","23.82","5.41M","0.85%"
"04/10/2023","23.63","23.40","23.70","23.27","4.87M","-0.17%"
"04/06/2023","23.67","23.28","23.92","23.20","5.36M","2.33%"
