Date,Open,High,Low,Close,Adj Close,Volume
"04.07.2023","295,10","287,10","296,60","286,45","8,62M","2,54%"
"03.07.2023","287,80","296,00","296,00","287,05","12,40M","-3,02%"
"30.06.2023","296,75","301,70","304,00","295,65","9,88M","-2,22%"
"29.06.2023","303,50","305,10","309,00","301,10","9,59M","-0,64%"
"28.06.2023","305,45","314,20","315,80","302,75","33,00M","-11,96%"
"27.06.2023","346,95","344,00","347,00","341,15","16,68M","0,80%"
"26.06.2023","344,20","345,00","346,65","338,35","13,08M","1,31%"
"23.06.2023","339,75","345,65","345,95","336,00","6,30M","-1,69%"
"22.06.2023","345,60","345,60","347,75","345,00","4,55M","-0,27%"
"21.06.2023","346,55","346,00","348,90","344,70","6,41M","0,26%"
"20.06.2023","345,65","343,10","347,80","335,05","9,71M","0,57%"
"19.06.2023","343,70","345,00","347,95","341,45","7,87M","0,51%"
"16.06.2023","341,95","337,00","342,00","335,35","6,30M","1,60%"
"15.06.2023","336,55","331,00","337,35","330,00","6,71M","1,89%"
"14.06.2023","330,30","331,45","331,55","326,45","2,87M","-0,06%"
"13.06.2023","330,50","330,00","331,95","328,50","3,93M","0,49%"
"09.06.2023","328,90","324,80","329,35","324,40","3,55M","1,26%"
"08.06.2023","324,80","326,50","327,20","323,25","3,30M","-0,55%"
"07.06.2023","326,60","328,90","328,95","325,05","3,20M","-0,41%"
"06.06.2023","327,95","329,00","329,60","325,40","5,24M","-0,50%"
"05.06.2023","329,60","330,00","333,70","325,00","8,73M","0,84%"
"02.06.2023","326,85","319,45","327,00","317,50","9,26M","2,99%"
"01.06.2023","317,35","317,50","319,00","315,65","2,82M","0,08%"
"31.05.2023","317,10","317,00","318,75","313,65","4,09M","0,16%"
"30.05.2023","316,60","312,65","319,95","311,05","6,24M","0,94%"
"29.05.2023","313,65","309,35","314,90","308,75","5,18M","1,83%"
"26.05.2023","308,00","306,05","308,15","306,05","2,52M","0,52%"
"25.05.2023","306,40","306,90","306,90","303,65","2,68M","0,07%"
"24.05.2023","306,20","307,00","308,60","305,00","2,77M","-0,21%"
"23.05.2023","306,85","305,85","308,00","301,65","3,78M","0,51%"
"22.05.2023","305,30","309,00","309,75","301,50","4,14M","-0,88%"
"19.05.2023","308,00","313,00","313,00","305,60","8,64M","-1,77%"
"18.05.2023","313,55","294,00","314,95","290,75","16,91M","6,98%"
"17.05.2023","293,10","294,80","295,00","290,55","2,73M","-0,24%"
"16.05.2023","293,80","288,00","295,55","285,95","5,66M","2,33%"
"15.05.2023","287,10","278,80","288,00","277,65","8,18M","3,87%"
"12.05.2023","276,40","272,50","276,65","270,00","1,75M","1,43%"
"11.05.2023","272,50","273,85","278,10","265,60","3,39M","-0,06%"
"10.05.2023","272,65","263,60","274,00","262,55","2,21M","3,43%"
"08.05.2023","263,60","267,20","267,70","262,40","770,21K","-0,94%"
"05.05.2023","266,10","268,80","269,90","266,00","1,02M","-1,00%"
"04.05.2023","268,80","266,60","269,85","265,40","1,52M","1,41%"
"03.05.2023","265,05","270,70","271,25","264,50","3,44M","-2,09%"
"02.05.2023","270,70","273,75","276,50","265,55","2,87M","-0,53%"
"28.04.2023","272,15","274,00","274,05","270,30","968,12K","-0,55%"
"27.04.2023","273,65","272,90","274,15","270,05","1,29M","0,27%"
"26.04.2023","272,90","271,40","274,00","270,60","1,92M","0,59%"
"25.04.2023","271,30","269,50","271,40","267,00","1,37M","0,76%"
"24.04.2023","269,25","266,40","270,50","265,45","2,19M","1,07%"
"21.04.2023","266,40","269,90","269,90","265,00","1,26M","-0,73%"
"20.04.2023","268,35","267,30","270,40","261,30","2,60M","0,62%"
"19.04.2023","266,70","265,40","272,25","264,00","4,93M","0,49%"
"18.04.2023","265,40","262,35","265,50","261,00","2,33M","1,69%"
"17.04.2023","261,00","260,15","264,50","260,05","2,94M","0,37%"
"14.04.2023","260,05","260,90","261,30","258,40","1,82M","-0,13%"
"13.04.2023","260,40","261,25","263,50","257,90","2,03M","-0,33%"
"12.04.2023","261,25","258,55","262,95","257,00","2,77M","1,65%"
"11.04.2023","257,00","259,00","263,30","255,40","4,61M","-0,87%"
"10.04.2023","259,25","258,10","259,30","257,05","2,06M","0,68%"
"07.04.2023","257,50","256,90","258,00","254,45","1,41M","0,68%"
"06.04.2023","255,75","255,40","258,00","254,70","2,02M","0,31%"
"05.04.2023","254,95","255,25","255,40","251,80","1,30M","0,08%"
"04.04.2023","254,75","258,00","258,25","253,70","3,16M","-1,26%"
"03.04.2023","258,00","258,00","258,85","256,60","2,11M","0,06%"
"31.03.2023","257,85","259,30","259,30","254,20","1,92M","-0,56%"
"30.03.2023","259,30","258,00","259,95","257,05","2,22M","0,52%"
"29.03.2023","257,95","258,00","258,45","256,05","1,73M","0,14%"
"28.03.2023","257,60","257,25","259,30","254,75","2,75M","0,29%"
"27.03.2023","256,85","253,10","258,00","250,70","2,72M","1,62%"
"24.03.2023","252,75","254,50","254,60","250,55","1,29M","-0,65%"
"23.03.2023","254,40","254,40","255,00","252,75","869,63K","0,00%"
"22.03.2023","254,40","256,00","256,60","253,55","1,41M","-0,33%"
"21.03.2023","255,25","251,55","256,85","250,50","2,41M","1,37%"
"20.03.2023","251,80","248,55","252,80","246,50","2,27M","1,49%"
"17.03.2023","248,10","248,90","248,90","245,75","2,55M","0,08%"
"16.03.2023","247,90","250,90","251,40","245,05","2,86M","-0,82%"
"15.03.2023","249,95","256,50","257,00","248,65","1,56M","-2,33%"
"14.03.2023","255,90","255,55","257,50","255,00","841,27K","-0,29%"
"13.03.2023","256,65","257,70","258,30","254,25","1,73M","-0,41%"
"10.03.2023","257,70","257,05","258,80","255,20","836,80K","0,21%"
"09.03.2023","257,15","257,55","258,30","256,15","686,25K","-0,19%"
"07.03.2023","257,65","258,90","259,50","256,50","997,38K","-0,29%"
"06.03.2023","258,40","259,65","261,00","257,55","1,33M","-0,48%"
"03.03.2023","259,65","255,00","261,00","254,10","2,45M","2,00%"
"02.03.2023","254,55","259,10","259,25","252,45","1,73M","-1,76%"
"01.03.2023","259,10","260,40","261,00","257,00","1,69M","-0,40%"
