"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2023","2.293","2.300","2.322","2.260","161.50M","-0.26%"
"09/21/2023","2.299","2.250","2.335","2.231","330.49M","1.86%"
"09/20/2023","2.257","2.290","2.333","2.126","478.39M","-1.27%"
"09/19/2023","2.286","2.407","2.417","2.260","279.69M","-4.63%"
"09/18/2023","2.397","2.462","2.475","2.385","164.11M","-1.68%"
"09/15/2023","2.438","2.342","2.480","2.339","318.46M","3.97%"
"09/14/2023","2.345","2.435","2.442","2.142","641.91M","-3.97%"
"09/13/2023","2.442","2.529","2.538","2.431","231.77M","-3.13%"
"09/12/2023","2.521","2.391","2.539","2.389","529.12M","5.66%"
"09/11/2023","2.386","2.430","2.443","2.367","224.16M","-1.49%"
"09/08/2023","2.422","2.479","2.490","2.352","342.06M","-1.34%"
"09/07/2023","2.455","2.580","2.584","2.388","535.10M","-4.44%"
"09/06/2023","2.569","2.500","2.594","2.467","510.72M","2.39%"
"09/05/2023","2.509","2.530","2.540","2.453","362.00M","-0.95%"
"09/04/2023","2.533","2.562","2.600","2.510","507.28M","-1.13%"
"09/01/2023","2.562","2.400","2.573","2.390","1.84B","7.69%"
"08/31/2023","2.379","2.370","2.407","2.312","627.98M","0.85%"
"08/30/2023","2.359","2.194","2.378","2.192","884.59M","8.06%"
"08/29/2023","2.183","2.178","2.199","2.106","314.07M","0.65%"
"08/28/2023","2.169","2.159","2.180","2.153","101.85M","0.84%"
"08/25/2023","2.151","2.133","2.165","2.123","124.37M","0.84%"
"08/24/2023","2.133","2.123","2.154","2.090","186.58M","1.47%"
"08/23/2023","2.102","2.132","2.190","2.057","525.25M","-1.45%"
"08/22/2023","2.133","2.125","2.155","2.085","134.66M","0.42%"
"08/21/2023","2.124","2.063","2.129","2.052","161.41M","3.56%"
"08/18/2023","2.051","2.062","2.079","2.033","72.14M","0.54%"
"08/17/2023","2.040","2.003","2.050","1.974","104.13M","2.20%"
"08/16/2023","1.996","2.055","2.065","1.962","137.76M","-2.92%"
"08/15/2023","2.056","2.035","2.084","2.001","80.83M","0.59%"
"08/14/2023","2.044","2.118","2.144","2.031","197.03M","-3.40%"
"08/11/2023","2.116","2.096","2.124","2.071","94.86M","0.67%"
"08/10/2023","2.102","2.062","2.150","2.058","224.96M","2.14%"
"08/09/2023","2.058","2.065","2.098","2.036","107.56M","-0.24%"
"08/08/2023","2.063","2.095","2.095","2.022","136.69M","-1.57%"
"08/07/2023","2.096","2.130","2.170","2.066","169.05M","-0.71%"
"08/04/2023","2.111","2.170","2.195","2.041","359.55M","-2.85%"
"08/03/2023","2.173","2.160","2.180","2.150","140.98M","0.70%"
"08/02/2023","2.158","2.168","2.183","2.138","209.61M","-0.46%"
"08/01/2023","2.168","2.150","2.232","2.115","792.61M","1.45%"
"07/31/2023","2.137","2.030","2.139","2.022","366.80M","6.37%"
"07/28/2023","2.009","2.015","2.030","1.996","116.78M","-0.30%"
"07/27/2023","2.015","2.025","2.086","1.988","423.01M","-0.20%"
"07/26/2023","2.019","1.972","2.055","1.920","401.07M","2.38%"
"07/25/2023","1.972","1.980","1.990","1.942","131.30M","-0.15%"
"07/24/2023","1.975","1.897","1.976","1.892","146.44M","4.39%"
"07/21/2023","1.892","1.870","1.901","1.860","53.52M","0.64%"
"07/20/2023","1.880","1.916","1.919","1.863","131.48M","-1.83%"
"07/19/2023","1.915","1.930","1.943","1.902","111.66M","-0.52%"
"07/18/2023","1.925","1.840","1.943","1.834","277.95M","4.73%"
"07/17/2023","1.838","1.841","1.844","1.830","40.99M","-0.16%"
"07/14/2023","1.841","1.853","1.853","1.835","33.36M","-0.11%"
"07/13/2023","1.843","1.852","1.862","1.839","30.40M","-0.49%"
"07/12/2023","1.852","1.850","1.863","1.834","40.79M","0.33%"
"07/11/2023","1.846","1.850","1.854","1.831","34.29M","0.22%"
"07/10/2023","1.842","1.830","1.852","1.827","50.87M","0.88%"
"07/07/2023","1.826","1.823","1.846","1.809","58.62M","0.55%"
