Date,Open,High,Low,Close,Adj Close,Volume
"04.07.2023","295,20","287,10","296,60","286,45","8,33M","2,57%"
"03.07.2023","287,80","296,00","296,00","287,05","12,40M","-3,02%"
"30.06.2023","296,75","301,70","304,00","295,65","9,88M","-2,22%"
"29.06.2023","303,50","305,10","309,00","301,10","9,59M","-0,64%"
"28.06.2023","305,45","314,20","315,80","302,75","33,00M","-11,96%"
"27.06.2023","346,95","344,00","347,00","341,15","16,68M","0,80%"
"26.06.2023","344,20","345,00","346,65","338,35","13,08M","1,31%"
"23.06.2023","339,75","345,65","345,95","336,00","6,30M","-1,69%"
"22.06.2023","345,60","345,60","347,75","345,00","4,55M","-0,27%"
"21.06.2023","346,55","346,00","348,90","344,70","6,41M","0,26%"
"20.06.2023","345,65","343,10","347,80","335,05","9,71M","0,57%"
"19.06.2023","343,70","345,00","347,95","341,45","7,87M","0,51%"
"16.06.2023","341,95","337,00","342,00","335,35","6,30M","1,60%"
"15.06.2023","336,55","331,00","337,35","330,00","6,71M","1,89%"
"14.06.2023","330,30","331,45","331,55","326,45","2,87M","-0,06%"
"13.06.2023","330,50","330,00","331,95","328,50","3,93M","0,49%"
"09.06.2023","328,90","324,80","329,35","324,40","3,55M","1,26%"
"08.06.2023","324,80","326,50","327,20","323,25","3,30M","-0,55%"
"07.06.2023","326,60","328,90","328,95","325,05","3,20M","-0,41%"
"06.06.2023","327,95","329,00","329,60","325,40","5,24M","-0,50%"
"05.06.2023","329,60","330,00","333,70","325,00","8,73M","0,84%"
